complaint_id,timestamp,customer_id,channel,complaint_text,category,priority,supplier_id,product_category,region,order_id
CMP-000001,2024-01-01 00:00:00,CUST-1228,email,Quality issue with order ORD-770487. The oranges show signs of improper handling during transport.,Damaged Goods,critical,SUP-5260,organic apples,Asia,ORD-770487
CMP-000002,2024-01-01 14:37:16,CUST-1476,email,Cannot get anyone to respond about order ORD-329258 delay. Very frustrated with the service.,Poor Communication,medium,SUP-11216,peaches,Asia,ORD-329258
CMP-000003,2024-01-02 05:14:32,CUST-1865,web,Order ORD-832052 is severely delayed. We needed these bell peppers by 2025-10-28 for our retail operations.,Delivery Delay,low,SUP-7166,peaches,Asia,ORD-832052
CMP-000004,2024-01-02 19:51:49,CUST-1940,email,Shipment ORD-865179 stuck in transit for 10 days. This is causing major disruptions to our supply chain.,Delivery Delay,high,SUP-10417,oranges,Europe,ORD-865179
CMP-000005,2024-01-03 10:29:05,CUST-2751,app,Order ORD-183667 is incomplete. Missing 28 units of raspberries.,Missing Items,high,SUP-10749,limes,North America,ORD-183667
CMP-000006,2024-01-04 01:06:22,CUST-2247,app,Critical delay on order ORD-174870. The cantaloupe were time-sensitive and now may be unusable.,Delivery Delay,critical,SUP-11294,pineapples,Asia,ORD-174870
CMP-000007,2024-01-04 15:43:38,CUST-2683,email,Unacceptable quality for shipment ORD-340174. The raspberries do not meet our quality standards.,Quality Issues,medium,SUP-12247,lemons,Europe,ORD-340174
CMP-000008,2024-01-05 06:20:55,CUST-1542,app,"Delivery delay for shipment ORD-249811. Expected 2025-10-31, still not received. Our customers are waiting.",Delivery Delay,low,SUP-9174,broccoli,Asia,ORD-249811
CMP-000009,2024-01-05 20:58:11,CUST-1096,email,Shipment ORD-892495 arrived with crushed boxes. Multiple lemons units are unsellable.,Damaged Goods,high,SUP-12051,organic apples,North America,ORD-892495
CMP-000010,2024-01-06 11:35:28,CUST-1234,web,Overcharged on shipment ORD-855731. Please review and issue credit for $1298.,Pricing Error,low,SUP-6463,carrots,Asia,ORD-855731
